Tag,Sum,Frequency,Sum Rank,Frequency Rank
kick-ass intro,1,1,50081,50081
celtic death metal,1,1,50081,50081
fiddle metal,1,1,50081,50081
bogowie,1,1,50081,50081
celtic pagan metal,1,1,50081,50081
Epic Folk Metal,1,1,50081,50081
Frederic Riesterer,3,1,36404,50081
tmk,3,1,36404,50081
reveillon,3,1,36404,50081
mitsinger,1,1,50081,50081
gemmydragon,1,1,50081,50081
My Teens,1,1,50081,50081
jog-guteLaune,1,1,50081,50081
Anos 90,1,1,50081,50081
feelin groovy,1,1,50081,50081
Kate Pierson,3,1,36404,50081
Wake up Music,3,1,36404,50081
Shiny Happy People,3,1,36404,50081
sushi lounge,5,1,24991,50081
station 13,5,1,24991,50081
run for your life,5,1,24991,50081
use each number ONCE only,5,1,24991,50081
my soul is here,1,1,50081,50081
simply perfect,1,1,50081,50081
nina1,3,1,36404,50081
choo choo chicken,1,1,50081,50081
dancefloorfriendly,1,1,50081,50081
michaeljackson,1,1,50081,50081
Michael Jackson - Bad,2,1,47451,50081
listen to the drums,2,1,47451,50081
destructive power,2,1,47451,50081
badass vocals,2,1,47451,50081
Metaphysics,3,1,36404,50081
drummer god,3,1,36404,50081
fucking insane drumming,4,1,29950,50081
I Love Radio,3,1,36404,50081
lydia moore,3,1,36404,50081
Without You Usher,3,1,36404,50081
strome,7,1,19019,50081
2thebeat,2,1,47451,50081
Vera,1,1,50081,50081
60s and early 70s music,2,1,47451,50081
absolutely fucking gorgeous,3,1,36404,50081
Golden Slumbers,5,1,24991,50081
need you know,2,1,47451,50081
lady A,2,1,47451,50081
danceable country,2,1,47451,50081
DirtRoadnOldPickupTruck,2,1,47451,50081
i loooove this song cuz it is sooo true,2,1,47451,50081
My Country,2,1,47451,50081
need u now,2,1,47451,50081
lady antebellum- need you now,2,1,47451,50081
SleepyTimeTea,2,1,47451,50081
need you now,16,1,9642,50081
rusty halo,2,1,47451,50081
it rockz,2,1,47451,50081
estonian top 40,2,1,47451,50081
playlist of a stalker,2,1,47451,50081
uk chart 31 aug 2008,2,1,47451,50081
uk chart 24 aug 2008,2,1,47451,50081
uk chart aug 2008,2,1,47451,50081
uk chart 10 aug 2008,2,1,47451,50081
uk chart 2008,2,1,47451,50081
moved,2,1,47451,50081
mix tape of love fodder,2,1,47451,50081
We Cry,2,1,47451,50081
new findings i like,3,1,36404,50081
the man who cant be moved,6,1,21685,50081
mullets,2,1,47451,50081
MMSA,2,1,47451,50081
Angra,2,1,47451,50081
memorylane,2,1,47451,50081
hipster bullshit,5,1,24991,50081
like ra ra riot,3,1,36404,50081
grizzly,5,1,24991,50081
Nightdriving in the fog,5,1,24991,50081
crimsonsunday,2,1,47451,50081
Philadephia,2,1,47451,50081
Streets of Philadelphia,5,1,24991,50081
wrong titles,2,1,47451,50081
Saltwater,2,1,47451,50081
electronica cannera,2,1,47451,50081
short tracks,2,1,47451,50081
Neo Progressive Rock,2,1,47451,50081
progressif,2,1,47451,50081
brunch,2,1,47451,50081
Muse - Blackout,3,1,36404,50081
album title in this song,8,1,17014,50081
white guys playing a fast guitar,2,1,47451,50081
Franz Ferdinand - This Fire,2,1,47451,50081
in the mood for violence,2,1,47451,50081
this fire,3,1,36404,50081
coldplay  major minus,3,1,36404,50081
My Religion is Bucklandism,3,1,36404,50081
impressionado,3,1,36404,50081
violao,3,1,36404,50081
call me when youre sober,5,1,24991,50081
ahs,8,1,17014,50081
kaguya-hime,5,1,24991,50081
jedna od najdrazih pjesama svih vremena,5,1,24991,50081
yet again,5,1,24991,50081
aboard,5,1,24991,50081
Maio,5,1,24991,50081
i should have listened to this more,5,1,24991,50081
Krach,2,1,47451,50081
L vs  D,3,1,36404,50081
near dark,2,1,47451,50081
i like british accent,3,1,36404,50081
EMOTIONAL CRIPPLE,1,1,50081,50081
Death Cab For Cutie- Crooked Teeth,1,1,50081,50081
crooked teeth- death cab for cutie,1,1,50081,50081
chilled-accoustic-vocalists-indie,1,1,50081,50081
laid back grooves,1,1,50081,50081
Crooked Teeth,7,1,19019,50081
sleepwalking,8,1,17014,50081
sweet lord,1,1,50081,50081
beatles solo,1,1,50081,50081
righteous,1,1,50081,50081
krishna,2,1,47451,50081
george harrison - my sweet lord,4,1,29950,50081
Hare Krishna,6,1,21685,50081
my sweet lord,9,1,15385,50081
Simon And Garfunkel - Bridge over Troubled Water,2,1,47451,50081
Bridge,2,1,47451,50081
justify my reasons with your blood,2,1,47451,50081
city of delusion,2,1,47451,50081
suprise,2,1,47451,50081
songs that I am obsessed with,2,1,47451,50081
guitar love,2,1,47451,50081
epic Epic EPIC,2,1,47451,50081
One grey morning in the office,2,1,47451,50081
I will be singing,3,1,36404,50081
a Spanish flavour,3,1,36404,50081
Mockinbird,1,1,50081,50081
My Em Selection,1,1,50081,50081
Longfield,1,1,50081,50081
its fucked that i love this,1,1,50081,50081
to lose my life,3,1,36404,50081
Fav track of the year so far,2,1,47451,50081
like passion pit,3,1,36404,50081
i want to smash something to pieces while listening to that track,2,1,47451,50081
the 10s sound,3,1,36404,50081
meinelieblinge,3,1,36404,50081
synth based,3,1,36404,50081
the word is,3,1,36404,50081
NOT futurepop,3,1,36404,50081
luscious,3,1,36404,50081
good melody,3,1,36404,50081
need to buy,3,1,36404,50081
electornic,3,1,36404,50081
Thanks,3,1,36404,50081
musica de Crixxx e Cesinha,5,1,24991,50081
smuty,1,1,50081,50081
awesome artists,1,1,50081,50081
sad love song,2,1,47451,50081
amazing songs about love,2,1,47451,50081
Nickelback - Far Away,3,1,36404,50081
Norman Greenbaum - Spirit in the Sky,2,1,47451,50081
apollo 13,2,1,47451,50081
Norman Greenbaum Spirit in the Sky,2,1,47451,50081
Norman Greenbaum,11,1,12918,50081
spirit in the sky,17,1,9199,50081
Lieder welche die Zeit anhalten,2,1,47451,50081
lieblingssound,2,1,47451,50081
white lies - to lose my life,2,1,47451,50081
close ur eyes and let ur head fall back,2,1,47451,50081
night moves,2,1,47451,50081
hurricane 2010,2,1,47451,50081
dancing in the livingroom,2,1,47451,50081
IndieSound,2,1,47451,50081
got to be some more change in my life,3,1,36404,50081
unintended,5,1,24991,50081
Love love lovesongs,3,1,36404,50081
Bleedingout,6,1,21685,50081
band: imagine dragons,6,1,21685,50081
iow festival 2013,6,1,21685,50081
moj 2014,6,1,21685,50081
Little Big Town,6,1,21685,50081
Bleeding Out,11,1,12918,50081
best song on the album so far,4,1,29950,50081
history keeps me pulling me down,4,1,29950,50081
leave my body,4,1,29950,50081
Beats by Dre,4,1,29950,50081
one tree hill tunez,4,1,29950,50081
lindaaaa,4,1,29950,50081
feel like a badass,4,1,29950,50081
dont want your heart - it leaves me cold,4,1,29950,50081
amomuito,4,1,29950,50081
FOKIN AWESOME,4,1,29950,50081
Fallegt,4,1,29950,50081
female empowerment,2,1,47451,50081
keep going,2,1,47451,50081
genre-bending,2,1,47451,50081
run the world gays,4,1,29950,50081
run the world,4,1,29950,50081
i run this shit,4,1,29950,50081
it grew on me,6,1,21685,50081
female energy,6,1,21685,50081
Mr Crowley- Ozzy,1,1,50081,50081
beautiful solo,1,1,50081,50081
mr crowley,2,1,47451,50081
lovely americana,2,1,47451,50081
sexy indie rock,3,1,36404,50081
love his,6,1,21685,50081
Portugal the Man,50,1,3900,50081
Muse - Unintended,2,1,47451,50081
 dance,25,1,6670,50081
mua,2,1,47451,50081
tracking 2008,2,1,47451,50081
flegmat,2,1,47451,50081
RH Webcast 9Nov,2,1,47451,50081
soundtrack of a rainy afternoon,3,1,36404,50081
songs to grow beards to,3,1,36404,50081
eva angelina,1,1,50081,50081
harvester metallica,1,1,50081,50081
august night,1,1,50081,50081
heavy riff,1,1,50081,50081
Eva Green,1,1,50081,50081
the best heavy metal,2,1,47451,50081
Harvester of Sorrow,2,1,47451,50081
Great bands,2,1,47451,50081
truciciele publicznych studzien,2,1,47451,50081
pearl jam - once,2,1,47451,50081
experimental electronica,2,1,47451,50081
capsules of energy,3,1,36404,50081
now II,3,1,36404,50081
lysergic acid diethylamide,3,1,36404,50081
sureal,5,1,24991,50081
similar to MGMT,25,1,6670,50081
splitting up together,25,1,6670,50081
best pop duo or grup,25,1,6670,50081
Top-Heiner,25,1,6670,50081
LP-Woodstock,25,1,6670,50081
LP-Feel it Still,25,1,6670,50081
Portugal＄The Mann,25,1,6670,50081
Feel it Still,25,1,6670,50081
Music of My Love,2,1,47451,50081
love the band sick of the song,2,1,47451,50081
october 2008,2,1,47451,50081
can whine with the best of them,2,1,47451,50081
we are messy and we like it,2,1,47451,50081
two-headed boy,4,1,29950,50081
this may be the craziest and yet greatest song ever,4,1,29950,50081
epiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiic,2,1,47451,50081
WYMIATA,2,1,47451,50081
noisy protest metal,2,1,47451,50081
holy mountains,4,1,29950,50081
citizen erased,2,1,47451,50081
floccinaucinihilpilification,2,1,47451,50081
music to break things to,2,1,47451,50081
Jump The Fuck Up,2,1,47451,50081
Great Shit,2,1,47451,50081
maggots we are,4,1,29950,50081
Spit It Out,8,1,17014,50081
Pink Floyd Dogs,2,1,47451,50081
mega amazing fucking pwning solo,2,1,47451,50081
belariano,3,1,36404,50081
eletroic,3,1,36404,50081
foster for the people,3,1,36404,50081
aw yay,3,1,36404,50081
Fritei,3,1,36404,50081
Forever Love,3,1,36404,50081
took me awhile to get used to it,5,1,24991,50081
makes me do my marching dance,8,1,17014,50081
cloud hopping,15,1,10249,50081
action xD,2,1,47451,50081
Repeatitiveness,2,1,47451,50081
Light Music,2,1,47451,50081
All The Right Moves,10,1,14250,50081
sunday shoes,2,1,47451,50081
ilovethissongsoverymuchtothepointwherethespacebarisunnecessary,2,1,47451,50081
Soulgasm,2,1,47451,50081
forever lost,4,1,29950,50081
08,2,1,47451,50081
Birthday Songs,2,1,47451,50081
awesome ablum,2,1,47451,50081
straight no chaser,2,1,47451,50081
The Lost Art Of Keeping A Secret,3,1,36404,50081
first song I heard by artist,3,1,36404,50081
nice solos,2,1,47451,50081
Hangar 18,2,1,47451,50081
my recommendations are amazing sometimes,2,1,47451,50081
trippin in the early hours of the morning,2,1,47451,50081
what the fuck just happened,2,1,47451,50081
True Beauty,2,1,47451,50081
Music that gets you high,2,1,47451,50081
altpo,2,1,47451,50081
warm and fuzzy,2,1,47451,50081
Foster bar,2,1,47451,50081
favourite songs of 2007,2,1,47451,50081
boofy,2,1,47451,50081
as if a magic lantern threw the nerves in patterns on a screen,3,1,36404,50081
dancing alone in the dark,3,1,36404,50081
Cool Evening,3,1,36404,50081
my kind of blues,3,1,36404,50081
goosebumps all the way,4,1,29950,50081
Cage,4,1,29950,50081
why organs are awesome,6,1,21685,50081
fuzztastic,2,1,47451,50081
freshman year of college,2,1,47451,50081
must download,2,1,47451,50081
kingdom of kitsch,9,1,15385,50081
seapunk,5,1,24991,50081
ethereal electronic,5,1,24991,50081
communist daughter,3,1,36404,50081
how i feel,3,1,36404,50081
surreal guitar,5,1,24991,50081
semen stains the mountain tops,7,1,19019,50081
semen,11,1,12918,50081
semen stains the mountaintops,13,1,11433,50081
scouse,1,1,50081,50081
Coral,2,1,47451,50081
dreaming of you,4,1,29950,50081
the coral,16,1,9642,50081
Old Scool,1,1,50081,50081
Old and good,2,1,47451,50081
ben e＄ king,4,1,29950,50081
Ben E King,8,1,17014,50081
dessicant,6,1,21685,50081
songs for mixing,6,1,21685,50081
June Mixtape,6,1,21685,50081
sweet sweet Life,6,1,21685,50081
rape the repeat button,6,1,21685,50081
standout,6,1,21685,50081
rhyth and blues,6,1,21685,50081
spacedub,1,1,50081,50081
myfavo,2,1,47451,50081
Freddie Freeloader,1,1,50081,50081
My Jazz,1,1,50081,50081
cannonball adderley,2,1,47451,50081
great guitar work,1,1,50081,50081
space dementia,2,1,47451,50081
a lullaby to cause nightmares,3,1,36404,50081
Dementia,3,1,36404,50081
the sad playlist,3,1,36404,50081
pre-college nostalgia,3,1,36404,50081
huenefeldstrasse,1,1,50081,50081
winter sounds,3,1,36404,50081
opening song,2,1,47451,50081
a tinge melancholy,2,1,47451,50081
grade school,2,1,47451,50081
Hi-Fi Alternative Collection,2,1,47451,50081
BUMP,2,1,47451,50081
90s alternative rock,2,1,47451,50081
good for dancing to in a goth bar if you can muster sufficient abandon and like getting the evil eye,2,1,47451,50081
Pokemon,2,1,47451,50081
third eye blind semi charmed life,3,1,36404,50081
a lot like love,3,1,36404,50081
Hard Knock Life,4,1,29950,50081
meth,4,1,29950,50081
third eye blind,18,1,8600,50081
One of my favourite bands,3,1,36404,50081
setting: seaside,5,1,24991,50081
:hypno:,5,1,24991,50081
time: dusk,5,1,24991,50081
p34ch d41k1r1,5,1,24991,50081
amapparat,5,1,24991,50081
fave raves,5,1,24991,50081
Intense Shit That Will Make Your Fucking Brain Explode,5,1,24991,50081
monkeytown,5,1,24991,50081
Elektronik,5,1,24991,50081
genre: idm,10,1,14250,50081
best in its genre,10,1,14250,50081
best of this artist,10,1,14250,50081
if this song were a person i would totally fuck its brains out,2,1,47451,50081
awesome rock songs,2,1,47451,50081
beyond awesome,3,1,36404,50081
Muse - Space Dementia,4,1,29950,50081
the offsprings,1,1,50081,50081
kitsch pop,5,1,24991,50081
put your drinks up if you dont give a fuck,6,1,21685,50081
esc ctrl,6,1,21685,50081
podroze do bielska,6,1,21685,50081
densujemy,6,1,21685,50081
january 13,6,1,21685,50081
topnummer,6,1,21685,50081
Not Like the Movies,6,1,21685,50081
Lazy Jay,6,1,21685,50081
puke,6,1,21685,50081
60 - SIXTIES,2,1,47451,50081
jesus fucking christ this albums is boring as a drill,3,1,36404,50081
best song ever made since oasis broke up,3,1,36404,50081
he looped the loopin around my mind,3,1,36404,50081
Acrobatic blood concertina,3,1,36404,50081
wish it was written for me,3,1,36404,50081
walking alone on a beach,3,1,36404,50081
I love british accent,3,1,36404,50081
like morrissey,3,1,36404,50081
awwww,3,1,36404,50081
fucking awesome lyrics,5,1,24991,50081
soul tears,2,1,47451,50081
the word mirror,2,1,47451,50081
dramatic intensity,2,1,47451,50081
must see live,2,1,47451,50081
smoke and listen,3,1,36404,50081
music that makes me feel creative,4,1,29950,50081
alsohcesolc,6,1,21685,50081
Magtic,6,1,21685,50081
Fav Eng Songs,6,1,21685,50081
music that reminds me of someone gif,6,1,21685,50081
troche wypilam troche wypalilam,6,1,21685,50081
and dance a bit,6,1,21685,50081
cool-rock,2,1,47451,50081
and have a big hit,6,1,21685,50081
hit that,4,1,29950,50081
like we bringin 88 back,6,1,21685,50081
from la to tokyo,6,1,21685,50081
first things first im the realest,6,1,21685,50081
just the way u like it huh,6,1,21685,50081
get that line on rewind,6,1,21685,50081
I-G-G-Y put my name in bold,6,1,21685,50081
songs that were lip-synched in a Lip Sync Battle,6,1,21685,50081
I-G-G-Y,6,1,21685,50081
DANCEbabyDANCE,6,1,21685,50081
je kiff,6,1,21685,50081
charli,6,1,21685,50081
a di di ua,12,1,12260,50081
charli no,12,1,12260,50081
fancy,24,1,6905,50081
bjork-all is full of love,2,1,47451,50081
bluesrock ballad,1,1,50081,50081
bemerkenswert,1,1,50081,50081
Cream of clapton,2,1,47451,50081
wonderful tonight,7,1,19019,50081
ballare tutta la notte,6,1,21685,50081
mt song,6,1,21685,50081
Pumpin tunes,6,1,21685,50081
worst no 1s of 2013,6,1,21685,50081
nw hits,6,1,21685,50081
it goes on and on,6,1,21685,50081
and on and on,6,1,21685,50081
scram and shit,6,1,21685,50081
and have a sit,6,1,21685,50081
relaxed not bored,12,1,12260,50081
Good While High,12,1,12260,50081
as close as i come to dancing,12,1,12260,50081
git,6,1,21685,50081
la la,6,1,21685,50081
Psychedelic House,4,1,29950,50081
come admire our love,2,1,47451,50081
Interpol - Rest my chemistry,2,1,47451,50081
odd mood,2,1,47451,50081
stopgap,2,1,47451,50081
RADIO 411,2,1,47451,50081
so young so sweet so surprised,3,1,36404,50081
rest my chemistry,5,1,24991,50081
You Know Youre Right,2,1,47451,50081
sigur ros sample wtf,3,1,36404,50081
decapitating,3,1,36404,50081
sigur ros meets 8-bit,3,1,36404,50081
jebie mi tu islandia,3,1,36404,50081
industrial vibe,3,1,36404,50081
Kanal 42,4,1,29950,50081
Kanal 57,4,1,29950,50081
ilove2011,4,1,29950,50081
Holtby,4,1,29950,50081
Michel Tego,4,1,29950,50081
almazgz,4,1,29950,50081
alles1,4,1,29950,50081
cdae,4,1,29950,50081
brauchich,4,1,29950,50081
neymar,4,1,29950,50081
NOSSA,4,1,29950,50081
bobi,4,1,29950,50081
teneriffa,4,1,29950,50081
brasilianisch,4,1,29950,50081
out of tune,6,1,21685,50081
block b,6,1,21685,50081
faerie music,12,1,12260,50081
Christmas Top Of The Pops 2013,6,1,21685,50081
Dark music for dark moments,4,1,29950,50081
uuugh that shout at the beginning tho,7,1,19019,50081
this song is so fucking goooood,7,1,19019,50081
epitome of Josh Hommeness,7,1,19019,50081
hope my neighbours like this song,7,1,19019,50081
has official video,7,1,19019,50081
i wish my sex life was as dirty as this,7,1,19019,50081
Best one,7,1,19019,50081
bone,7,1,19019,50081
music for fucking,7,1,19019,50081
effects,7,1,19019,50081
billy idol-rebel yell,1,1,50081,50081
we miss 80s,1,1,50081,50081
late night cruising,1,1,50081,50081
feel-good-chill,1,1,50081,50081
originals,1,1,50081,50081
hurrah for the 80s,1,1,50081,50081
menorock,1,1,50081,50081
Steve Stevens,2,1,47451,50081
Billy Idol - Rebel Yell,2,1,47451,50081
Rebel Yell,9,1,15385,50081
spector,1,1,50081,50081
ronettes,2,1,47451,50081
mean streets,2,1,47451,50081
Ellie Greenwich,2,1,47451,50081
the ronettes,8,1,17014,50081
Wilco Jesus Etc,4,1,29950,50081
altcountry,4,1,29950,50081
The Official UK Top 40 Singles Chart,6,1,21685,50081
Sialenstwo,4,1,29950,50081
u bringing me back to life,4,1,29950,50081
festa ploc,4,1,29950,50081
pego,4,1,29950,50081
Karmacoma,3,1,36404,50081
ghost of you,3,1,36404,50081
The Ghost Of You,9,1,15385,50081
Porcupine Tree - Blackest Eyes,2,1,47451,50081
awesome drummer,2,1,47451,50081
emo shit,2,1,47451,50081
Jimmy Eat World - Sweetness,2,1,47451,50081
A Perfect Circle - Blue,5,1,24991,50081
this songggggggggg,10,1,14250,50081
scm,10,1,14250,50081
slow and steady,20,1,7964,50081
fleetwood mac landslide,3,1,36404,50081
landslide,5,1,24991,50081
burt bacharach,2,1,47451,50081
bacharach,3,1,36404,50081
i say a little prayer,4,1,29950,50081
jamiroquai virtual insanity,2,1,47451,50081
groovy funky,2,1,47451,50081
Travelling Without Moving,2,1,47451,50081
rustycanuckacidjazz,2,1,47451,50081
virtual insanity,5,1,24991,50081
may 2012,12,1,12260,50081
tanzentanzen,12,1,12260,50081
Vincent Neff,12,1,12260,50081
Tommy Grace,12,1,12260,50081
Jimmy Dixon,12,1,12260,50081
David Maclean,12,1,12260,50081
good songs for a bad day,12,1,12260,50081
Swah-fucking-weet,12,1,12260,50081
best trip-hop songs,2,1,47451,50081
perfect shoegaze,3,1,36404,50081
when I listen to this everything feels better,2,1,47451,50081
Ai Se Eu Te Pego,7,1,19019,50081
portugiesisch,4,1,29950,50081
Legiao Urbana,4,1,29950,50081
ana carolina,4,1,29950,50081
AI,4,1,29950,50081
te,4,1,29950,50081
Tim Maia,4,1,29950,50081
Cheer me up,4,1,29950,50081
Akkordeon,4,1,29950,50081
ronaldo,4,1,29950,50081
anos 60,4,1,29950,50081
brasileira,4,1,29950,50081
se,4,1,29950,50081
seu jorge,4,1,29950,50081
michel,7,1,19019,50081
BJM fans,1,1,50081,50081
Air Supply,7,1,19019,50081
Telo,7,1,19019,50081
Michel Telo,37,1,4867,50081
 OLE-1040-0],7,1,19019,50081
 ＄＄＄Like Clockwork (2LP) [Matador,7,1,19019,50081
Best album intros,7,1,19019,50081
bass licks,7,1,19019,50081
the word dream,2,1,47451,50081
daydreamer,12,1,12260,50081
billboard top,6,1,21685,50081
be strong song,6,1,21685,50081
gaian,6,1,21685,50081
songs that inspire,6,1,21685,50081
magic gif,6,1,21685,50081
helplessly singing alone,6,1,21685,50081
regggae,6,1,21685,50081
i know what you mean,2,1,47451,50081
Modest Mouse - The World at Large,2,1,47451,50081
mouse,2,1,47451,50081
Rainbows and Unicorns,2,1,47451,50081
modest mouse- the world at large,2,1,47451,50081
world at large,2,1,47451,50081
starting over,3,1,36404,50081
the world at large,8,1,17014,50081
Stop the Cavalry,3,1,36404,50081
born in the usa,3,1,36404,50081
yayayayaya,2,1,47451,50081
off spring,2,1,47451,50081
songs to knock your head - or someone elses - against something hard,2,1,47451,50081
mola,2,1,47451,50081
doraemon,2,1,47451,50081
crazy taxi,9,1,15385,50081
just shout,2,1,47451,50081
angry rock,3,1,36404,50081
makesmefeelamazing,3,1,36404,50081
Dream mix 1,3,1,36404,50081
welcomehome,3,1,36404,50081
step brothers,3,1,36404,50081
You Make My Dreams Come True - Hall and Oates,4,1,29950,50081
sweetlove,4,1,29950,50081
you make my dreams,6,1,21685,50081
hall and oates,16,1,9642,50081
behind blue eyes - the who,3,1,36404,50081
Big sky,2,1,47451,50081
crunch,2,1,47451,50081
No Ceiling,5,1,24991,50081
spiderpoptarts,2,1,47451,50081
nazi porn,3,1,36404,50081
Asche zu Asche,2,1,47451,50081
die kreatur muss STERRBEEEEN,3,1,36404,50081
march2016,3,1,36404,50081
IAM THE PLAGUE,3,1,36404,50081
powisle,3,1,36404,50081
baladinha monstra,3,1,36404,50081
I need you pure I need you clean,3,1,36404,50081
EU TO TREMENDO ROSANA,3,1,36404,50081
she opened up until she disappeared,3,1,36404,50081
chip away the old version of you: be surprised at what you can do,3,1,36404,50081
kills my soul,3,1,36404,50081
drugs in my body,3,1,36404,50081
witchpop,3,1,36404,50081
electr,3,1,36404,50081
witchstep,6,1,21685,50081
system o a down,2,1,47451,50081
THIS KICKS ASS,2,1,47451,50081
victoria sin,2,1,47451,50081
eva mendes,2,1,47451,50081
britney amber,2,1,47451,50081
tiffany doll,2,1,47451,50081
die kreatur Basescu muss STERBEEENNN,2,1,47451,50081
neue deutschland haerte,2,1,47451,50081
Wypierdolista w pizdu,2,1,47451,50081
Waidmanns Heil,2,1,47451,50081
waidmanns dank,2,1,47451,50081
waidmanns manns manns manns heil,2,1,47451,50081
jackiecrab,2,1,47451,50081
Dudes Best,2,1,47451,50081
Great refrain,2,1,47451,50081
winds,2,1,47451,50081
unblock,4,1,29950,50081
dulux,4,1,29950,50081
fuck me ,15,1,10249,50081
via-shazam,15,1,10249,50081
dance motherfucker dance,7,1,19019,50081
fckn awesome wave of progressive and other kinds of metal,2,1,47451,50081
head bangin,2,1,47451,50081
Fall Asleep Music,2,1,47451,50081
metal and more,2,1,47451,50081
early black metal,2,1,47451,50081
Pantera-This Love,3,1,36404,50081
best of pantera,3,1,36404,50081
breaking benjamin breath,2,1,47451,50081
Breaking Benjamin - Breath,2,1,47451,50081
evil angel,2,1,47451,50081
w00t,2,1,47451,50081
Placebo-This Picture,1,1,50081,50081
teenage hangover,1,1,50081,50081
ashtray girl,1,1,50081,50081
favourite songs of all time,1,1,50081,50081
me and myself sylvain,1,1,50081,50081
off the hook,1,1,50081,50081
rage more,1,1,50081,50081
Picturesque,1,1,50081,50081
Starsailor,1,1,50081,50081
Placebo - This Picture,2,1,47451,50081
This Picture,6,1,21685,50081
BAPTIZE ME UNDER A MOSQUE,5,1,24991,50081
kitsch arrangement,5,1,24991,50081
kitsch in a good way,5,1,24991,50081
positively ingenious,5,1,24991,50081
kitschcore,5,1,24991,50081
neo 80s,5,1,24991,50081
killer shredding,5,1,24991,50081
suggestive,4,1,29950,50081
gold guns girls,4,1,29950,50081
Alkoholen,2,1,47451,50081
the best atm,15,1,10249,50081
I have ambivalent feelings about this,15,1,10249,50081
Hills Have Eyes,15,1,10249,50081
I have to change my pants after this song,15,1,10249,50081
the rolling stones - start me up,1,1,50081,50081
clasic rock,1,1,50081,50081
tattoo you,2,1,47451,50081
rolling stone 100 greatest guitarists,2,1,47451,50081
start me up,5,1,24991,50081
lying is the most fun a girl can have without taking off her clothes,2,1,47451,50081
heart pumping,2,1,47451,50081
Lying is the most fun,2,1,47451,50081
lying is the most fun a girl can have without taking her clothes off,5,1,24991,50081
Oasis - Supersonic,2,1,47451,50081
je veux,4,1,29950,50081
fuckin addicted,3,1,36404,50081
Sinead O Connor,2,1,47451,50081
prince cover,3,1,36404,50081
nothing compares to you,3,1,36404,50081
nothing compares 2 u,7,1,19019,50081
Sinead OConnor,8,1,17014,50081
Kanal 56,3,1,36404,50081
songstome,3,1,36404,50081
hits 2010,3,1,36404,50081
mitroehren,3,1,36404,50081
schwer die fuesse stillzuhalten,3,1,36404,50081
memoriz,3,1,36404,50081
summer morning,3,1,36404,50081
Coronavirus,3,1,36404,50081
Common people,3,1,36404,50081
Does,6,1,21685,50081
love balladz,2,1,47451,50081
unbelievably beautiful,2,1,47451,50081
razor catchy,2,1,47451,50081
And I love her,3,1,36404,50081
softly rueful,6,1,21685,50081
escutar mas tarde,6,1,21685,50081
swede love,12,1,12260,50081
oh those harmonies,12,1,12260,50081
found through turntablefm,2,1,47451,50081
decent covers,2,1,47451,50081
use of trumpets,2,1,47451,50081
Dub Influences,2,1,47451,50081
groovey,2,1,47451,50081
djing,2,1,47451,50081
Left-Field Hip-Hop,2,1,47451,50081
groovy electronic,4,1,29950,50081
TELECFUNKNOHAUSINDUBSTRIALBREAKSTEP,6,1,21685,50081
stereomood,16,1,9642,50081
chillout triphop,59,1,3449,50081
the word subterranean,1,1,50081,50081
the word homesick,1,1,50081,50081
gregicana,1,1,50081,50081
Political Song,1,1,50081,50081
homesickness,1,1,50081,50081
bob dylan suberranean homesick blues,2,1,47451,50081
reasons why i love dylan,2,1,47451,50081
Guns n roses- Live and Let die,2,1,47451,50081
come out and play,2,1,47451,50081
sex drugs and complications,2,1,47451,50081
arrache la tapisserie avec les dents,2,1,47451,50081
warms my heart,2,1,47451,50081
i give her all my love that is all I do,2,1,47451,50081
class war,1,1,50081,50081
could grow on me,3,1,36404,50081
my therapy,2,1,47451,50081
i felt i could have written it so the fact that it was already written was kind of a technicality,2,1,47451,50081
passive-aggressive bullshit,3,1,36404,50081
passive,3,1,36404,50081
Constantine,3,1,36404,50081
tapeworm,6,1,21685,50081
i need a gun,2,1,47451,50081
Wanted soundtrack,2,1,47451,50081
everyday is exactly the same,2,1,47451,50081
Spleen,2,1,47451,50081
Every Day Is Exactly the Same,3,1,36404,50081
nbwohm,1,1,50081,50081
Can I Play With Madness,4,1,29950,50081
last song syndrome,5,1,24991,50081
nico and vinz gif,5,1,24991,50081
song that shivers gif,5,1,24991,50081
nivo,5,1,24991,50081
but still,5,1,24991,50081
diversity,5,1,24991,50081
Am I Wrong,20,1,7964,50081
nico and vinz,25,1,6670,50081
this song have the cliche that i need,2,1,47451,50081
the new trip,2,1,47451,50081
fuckn love this song,2,1,47451,50081
everything is over now,2,1,47451,50081
mgmt - of moons birds and monsters,2,1,47451,50081
jingly jangly,2,1,47451,50081
para sair voando pela cidade a noite,2,1,47451,50081
para ficar bem louco,2,1,47451,50081
london love,2,1,47451,50081
cocain,2,1,47451,50081
2006 Fave Songs,2,1,47451,50081
supimpa boa caraleoquemusica,2,1,47451,50081
pop 2008,2,1,47451,50081
Dilia,2,1,47451,50081
feisty,2,1,47451,50081
stupid boys,2,1,47451,50081
Get Up and Move,2,1,47451,50081
pink so what,3,1,36404,50081
Pink - So What,5,1,24991,50081
fucking rockstar,8,1,17014,50081
rustycanuckchillinbeans,2,1,47451,50081
Tracey Thorn,4,1,29950,50081
over morning coffee,2,1,47451,50081
Insular,2,1,47451,50081
not bad stuff,8,1,17014,50081
david orton,8,1,17014,50081
maya tune,8,1,17014,50081
